ID	NAME	D
43	St. Anthony West	M219.31,261.79c-4.22,1.9-8.19,4.34-12.27,6.54l-.08,0,0-.05c-1.69-6.22-8.75-10-14.25-7.08-3,1.57-5.11,1.08-7.78-.4-10.35-5.71-13.78-15.18-14.69-26.14-.24-2.89.86-3.48,3.77-3.4,12.27.33,24.55.36,36.82.31,3.27,0,5.33.89,5,4.42-.75,7.43,1.23,14.12,5.11,20.37C222.44,258.78,222.31,260.44,219.31,261.79Z
44	Sheridan	M214.57,210.14c-1.76,4.9-.84,10.25-.44,15.32.27,3.44-.76,3.81-3.61,3.71-5-.18-10,0-16,0-6.1-.31-13.23.39-20.37-.77-3.75-.6-4.46-2.37-3.62-5.4a86.7,86.7,0,0,0,3-14.1c.57-5.48,5.58-7.72,9.9-4.27,2.26,1.8,4.35,1.87,6.87,1.84,7.14-.08,14.29,0,21.43.05C214.21,206.48,215.86,206.56,214.57,210.14Z
45	Logan Park	M244.63,227c-1,2.93-3.56,2.55-5.37,1.62-5.57-2.88-11.4-1.75-17-1-2.88.37-3.09-.22-3.09-2.41,0-3.48,0-7,0-10.46,0-1.83,0-3.65,0-5.48,0-10.63,0-10.46,10.6-11.95,3.71-.52,7.21-2.06,11.14-1.83,2,.13,3.2.76,3.7,1.71.65,1.25-.13,2.81-.45,3.54-2.59,5.87-.65,14.42.17,18.05C244.81,220.83,245.69,224,244.63,227Z
46	Northeast Park	M349.07,203.57c-12.75,14.49-32.14,19.67-49.92,13.22-5.71-2.07-11.54-1.95-17.26-1.23-4.71.6-7.07,4.94-8.71,8.91-1.55,3.76-3.78,5-7.62,4.74-4.31-.25-8.66-.16-13,0-3.18.09-4.55-1.2-4.48-4.42.11-5.49.17-11,0-16.48-.13-3.8,1.58-4.86,5.11-4.83,15.82.12,31.65-.07,47.47.18,4.36.07,7-1.4,9.37-5,5.07-7.77,10.77-15.12,15.3-23.27l1.79.25v17.68c0,10.31,0,10.31,10.37,10.31Z
47	Windom Park	M319.66,178.76c-4.62,6.91-9.42,13.72-14.23,20.51-1.31,1.84-3.48,1.95-5.48,1.74-16.39-1.72-32.91.23-49.29-1.82-1.67-.21-2.49-.62-2.5-2.27q0-9.49,0-19c0-3.07,2.11-3.35,4.45-3.34,8,0,16,0,26.49,0,11-1.2,24.41,1.61,37.88.08C320.22,174.31,321.64,175.8,319.66,178.76Z
48	Waite Park	M302,144.49c.09,4.43-2,4.63-5.28,3.42-5.15-1.87-6.84-6.67-8.82-10.94-3.54-7.64-14.92-12.62-22.6-9-3.79,1.8-6.23,1.31-8.34-2.2-.86-1.43-2.12-3-3.76-3.07-4.92-.29-5.19-3.31-5.09-7.18.19-8.14.15-16.29,0-24.44,0-3.42,1.29-4.74,4.71-4.71q22.2.14,44.4,0c3.41,0,4.78,1.33,4.74,4.73-.11,9,0,18,0,26.94C302,126.86,301.84,135.68,302,144.49Z
49	Audubon Park	M301.94,167.62c-.12,4.24-3,6.14-6.58,3.83-3.39-2.2-6.89-1.87-10-.94-11.3,3.39-22.76.78-34.11,1.51-2.76.18-3.11-1.93-3.12-4.09V148.47c0-6.15,0-12.3,0-18.46,0-1.59-.36-3.55,1.74-4.21a3.65,3.65,0,0,1,4.62,2c2.28,4.55,6.26,4.81,10.61,4.71,6.76-.16,13.78-1.17,18.83,5.19a31.18,31.18,0,0,1,4,5.71c2.1,4.32,5.45,7.2,10.18,8,3,.49,3.89,2,3.87,4.74C301.93,160,302.05,163.8,301.94,167.62Z
50	Holland	M244.8,188.63c0,2.78-.44,4.81-4,2.81a4.62,4.62,0,0,0-3.41-.27c-5.61,2-11.24,3.51-17.31,3.37-2.31-.06-2,2.6-2.65,4.24-.89,2.34-1.4,5.52-5.27,2.59-1-.79-3.55-.67-4.79,0-4.53,2.64-4.15-.45-4.16-3.23,0-5.48,0-11,0-16.46s.11-11,0-16.46c-.09-3.32,1-4.84,4.57-4.79q16.2.2,32.42,0c3.44,0,4.75,1.29,4.68,4.7C244.71,173,244.81,180.81,244.8,188.63Z
51	Bottineau	M195.09,203.1c-3.79,0-7.67,1-10-3.92-1.07-2.3-4.72-1.6-6.8-.37-3.72,2.18-4.91.73-5-2.79-.22-6.32-.25-12.64-.48-19-.07-2.18,1.19-2.5,2.83-2.51h11c3.66,0,7.33,0,11,0,2.33,0,3.18.89,2.35,3.5a28.49,28.49,0,0,0,.24,18C201.94,201.27,200.62,203.08,195.09,203.1Z
52	Marshall Terrace	M201.7,142.33c-1.24,7.79-1,15.6-.85,23.39.1,4.46-1.59,5.85-5.86,5.68-6.31-.26-12.64-.18-19,0-3.19.08-5.21-1.06-5.57-4.28-1.35-12.12-5.68-23.51-8.57-35.25-1.74-7.11-5.48-13.45-7.32-20.77,2.56,6.67,7.85,6.56,13.4,6.45,9.31-.19,18.63-.09,27.95,0,5.6.06,7.48,2.76,5.27,8-1,2.36-1.23,4.1-.06,6.5C202.7,135.21,202.23,139,201.7,142.33Z
53	Columbia Park	M245.1,90.76c-.23,20-.21,40-.29,60,0,6.36-.36,7.33-6.3,6.37-10-1.61-19.82,1-29.74.23-5.27-.39-6.5-1.2-5.23-6.3,2.21-8.89,1.58-17.88,1.57-26.84s-.79-9.66-9.6-10c-8.29-.27-16.61.52-24.87-1.11-4-.78-7.36-2.75-10.68-4.7-2.24-1.31-3.26-4.75-6.86-1.93-1.39,1.08-2.47-1-2.27-2.24a3.84,3.84,0,0,0-.1-2.38,6.85,6.85,0,0,0-.48-2.75,11.18,11.18,0,0,0-1.17-2.66c-.79-1.45-1.71-2.7-1.87-4.5-.3-3.67.63-5.51,4.83-5.5q44.47.12,89-.1C244.33,86.35,245.13,87.5,245.1,90.76Z
54	Humboldt Industrial Area	M97.66,73.08c-16.29-5.2-32.4-10.34-48.51-15.52-1.46-.47-2.87-1.25-2.64-3.14s2-2.07,3.43-2.06c15.31,0,30.62.11,45.92.12a3.37,3.37,0,0,1,3.94,3.87c0,2.73.11,6.81.19,12C97.07,69.88,97.07,69.89,97.66,73.08Z
55	Lind-Bohanon	M151.29,52.17c-.31,3.78-1.9,5.42-5.7,5-1.48-.17-3,.14-4.49-.06-4.33-.59-6.56,1.29-7.13,5.54a19.39,19.39,0,0,1-2,5.54c-1.94,4.13-3.57,8.44-1.64,13.26,1,2.6.57,5.49.11,9-6.22-7.26-13.64-11.39-22-14a10.19,10.19,0,0,1-1.69-.71c.52-1.55.44-2.49,0-3.09-1-1.47-3.83-.22-4.86-1.62a2.91,2.91,0,0,1-.17-2.4,1.86,1.86,0,0,0,.82-.46c1-1,.29-3,.3-3.68.13-11.16,0-22.32.08-33.48,0-6.44.22-6.66,6.83-6.65,11.66,0,23.32.21,35,.11,3.61,0,5.11,1.16,5.08,4.87C149.82,37,151.93,44.47,151.29,52.17Z
56	Camden Industrial	M154.88,128.89c-3.23,1.37-5.29-.77-6.31-3.86a2.39,2.39,0,0,1-.25-1.64c.2-.53.67-.69.82-.86,1.05-1.15-7.09-8.51-11.48-16.81-5-9.46-3.81-17.65-3.48-19,0-.08.16-.69.34-1.52a41.68,41.68,0,0,0,.82-5.24c.12-1.81-.64-2.27-.24-4.38.71-3.76,1.23-7.56,1.57-11.37.42-4.71,3.46-4.19,6.8-4,6.83.51,6.95.49,4.72,6.92-3.05,8.81-6.54,17.53-4.42,27.18.33,1.49.69,3,1.12,4.3a10.83,10.83,0,0,0,1.75,3.75c-.59.84-.24,2.06.28,3.24,2.59,6,5.38,11.82,7.86,17.83C155.47,125.11,158,127.54,154.88,128.89Z
57	Webber-Camden	M140.13,127.07c-1.17,0-2.33,0-3.66,0-5.36-.6-10.28,2.73-15.94,2.08-12.9-1.48-25.89-.92-38.85-1-3,0-4.36-1-4.8-4.2-.8-5.81-.55-11.61-.64-17.42,0-2.23.46-4,3.16-4.09,3.07-.09,3.95-1.95,3.81-4.66-.29-5.75.94-11.61-1.59-17.21-.64-1.41-.29-3.28-.37-4.93-.17-3.34,1-4.54,4.48-3.35,8,2.72,16.2,5,24.2,7.79,7.7,2.66,15.44,6.47,18.68,14,4.3,10,10.87,18.91,14.22,29.35C143.72,126.26,142.81,127.19,140.13,127.07Z
58	Victory	M78.35,96.09c-.07.79-.22,2.15-.62,2.27-5.88,1.81-3.5,6.66-4,10.44-.61,5,.76,9.92-1.77,15-1.68,3.38-3.08,4.57-6.46,4.32-2-.15-4,0-6,0-11.24,0-11.24,0-11.31-11.46,0-8,.07-16-.18-23.94C47.78,84.27,45.5,76,46.14,67.45c.17-2.22-1.27-3.21-3.42-3.42a42.59,42.59,0,0,1-5.41-.85c-1.88-.42-2.13-1.94-1.9-3.53.29-2,1.72-1.54,3.06-1.3,12.82,2.27,24.87,7.13,37.27,10.84a3.85,3.85,0,0,1,3,4A210.59,210.59,0,0,1,78.35,96.09Z
59	Cleveland	M73.8,166.4c0,2.73-1.25,3.93-3.94,3.92-5.83,0-11.67-.06-17.5,0-3,0-4.12-1.42-4.07-4.31.09-5.33,0-10.67,0-16h0c0-5,.1-10,0-15-.1-3.16,1-4.56,4.32-4.51a159.07,159.07,0,0,1,17.45.77c2.72.35,3.8,1.47,3.79,4.12Q73.74,150.89,73.8,166.4Z
60	Jordan	M113.75,223.06c.09,3-1.3,4.3-4.22,4-6.42-.57-12.74-1.86-19.13-2.62-4.22-.5-7.76-3.21-6-8.73a3,3,0,0,0-1.28-3.1c-6.32-5.14-10.12-13.13-18.47-16-2.07-.72-2.5-3.42-3.74-5.17-3.06-4.36-6.06-8.76-9.06-13.17-.63-.92-1.87-1.81-1.3-3s2.08-.73,3.17-.74c9,0,18,0,27,0v.08c8.83,0,17.66,0,26.49,0,5.59,0,5.75.44,4.11,5.54a18.51,18.51,0,0,0-.17,11.35C114.65,201.88,113.4,212.5,113.75,223.06Z
61	Folwell	M116.17,169.23c-.51,2-2.6,2.11-4.2,1.81-10.19-1.88-20.47.56-30.68-.66-2.84-.33-4.26-1.28-4.25-4.23q.06-15.21,0-30.42c0-3.21,1.47-4.45,4.57-4.4,5.15.09,10.3,0,15.46,0v.13c4.65,0,9.32.2,14-.05,4.18-.23,6.44,1.05,5.77,5.58-.47,3.19.34,6.22-2,9.61-1.19,1.7-2.57,7.52,1,11.57C118.21,161,117.11,165.52,116.17,169.23Z
62	McKinley	M162.59,171.37c-6.49-.26-13-.07-19.48-.07v-.2c-6.49,0-13-.08-19.48,0-3.19.06-4.45-1.16-4.4-4.41q.21-15.22,0-30.47c0-3.35,1.08-4.77,4.61-4.77,10.32,0,20.63.06,30.92,1,2,.18,3.3.75,3.92,3,2.83,10.23,6.3,20.27,7.82,30.87C167.08,170.08,166.67,171.53,162.59,171.37Z
63	Hawthorne	M166.73,223.17c-1,2.8-2.19,4.08-5.22,4.05-13.48-.12-27-.18-40.44-.05-3.72,0-5-1.35-4.89-5,.18-7.15,0-14.3,0-21.46h-.18c0-7,.15-14-.06-21-.11-3.95,1.46-5.21,5.3-5.17,14.46.16,28.93-.16,43.38.86,2.58.18,4.28.92,4.19,3.68C168.38,193.82,172.07,208.68,166.73,223.17Z
64	Sumner-Glenwood	M129.72,299c-.11,2.81-.15,3.37-.55,4.19a6.89,6.89,0,0,1-3.77,3.28c-1.62.52-2.91.15-5.49-.57-9-2.48-9.16-2.36-10.22-3.17a12.44,12.44,0,0,1-4.29-6.69c-.08-.38-.38-1.91.14-2.18s1,.65,2,1.13c2.23,1.14,6.16-.12,7.54-2.54.32-.57.33-2.22.36-5.5,0-2.45-.06-3.31,0-5.47,0-.79.09-2,.26-3.4.45-3.85.67-5.78,1.59-6.79,0,0,2.22-2.37,9.7-.68,1.24.28,1.17,1.38,1.09,2.43-.31,4.21.63,8.24,1.7,12.27.16.59-.67,1.56.06,1.9,0,1.32.06,2,.09,4.16C130,292.63,129.89,294.76,129.72,299Z
65	Near-North	M165.64,253.19a7,7,0,0,1-7.9,1.24c-9.26-3.77-18.38-2.21-23.78,6.05-3.72,5.68-8.21,6.48-13.87,6.7-7.15.29-7.15.42-7.18,7.51-.06,10.62-.06,10.62-11,10.6h-7v-.14c-4.84,0-9.67-.07-14.5,0-2.93.06-4.29-1.1-4.23-4.12.11-5.49.12-11,0-16.49,0-2.95,1.2-4.31,4.16-4.24,3.16.08,6.33,0,9.5.05,2.89.09,4.59-1.13,4.28-4.09-.85-8,4.19-14.07,6.13-21.06,1.69-6.11,4.49-5.18,8.74-5.1,10.37.2,20.41,3.91,30.92,2.56,6.84-.87,13.48-3,20.57-2.36,4.18.35,6.54,1,6.34,5.92a24,24,0,0,0,1.63,9.27C169.9,249.22,167.82,251.19,165.64,253.19Z
66	Willard-Hay	M96.53,234.34c-1.42,7.46-10.42,12.22-7,21,.78,2-1.08,1.65-2.07,1.69-3.16.1-6.33.12-9.49.06-2.94-.05-4.27,1.29-4.22,4.22.06,3.3.08,6.45-2.25,9.39-1.25,1.58-.44,4,.55,6.12,2.51,5.49.81,7.9-5,8.35-4.63.36-9.24,1.08-13.85,1.72-3.18.44-5.13-.23-5.12-4q.18-51,.24-102c0-.26.29-.53.68-1.17a57.71,57.71,0,0,1,8.84,12.63C61.73,199.89,68,205.07,74,210.5c3.2,2.87,6.25,5.48,7.41,10.2,1.44,5.89,7.08,7,12.27,7.73S97.48,229.31,96.53,234.34Z
67	Harrison	M126.5,314.09c-5.49,0-11,.1-16.46,0-3.42-.09-6.78.23-9.59,2.11-5.73,3.83-11.44,1.7-15.84-1.34-4.25-2.93-8.59-3.1-13-3.65C68,310.72,64.68,310,62.32,307c-1.45-1.82-.43-2.68-2-4.94-.34-.5-3.07-4.32-7.41-4.95-1.69-.25-3,0-4-.95a3.5,3.5,0,0,1-.87-2.51c-.12-3.45,1.79-3.9,4.69-4.19,18.09-1.82,36.21-.83,54.31-.93,1.59,0,3.39-.58,4.74.75.58.56.19,1.33-.37,1.71-1.69,1.16-3.48,2.1-5.33.31-1.09-1-2-1.12-2.76.28-1.62,2.76.13,9.41,2.45,11.41,4.53,3.92,10.08,4.91,15.57,6.13a11.21,11.21,0,0,0,4.41-.27c1.46-.29,3.23-2.19,3.8.79C130,312,129.65,314.09,126.5,314.09Z
68	Bryn-Mawr	M122.77,319.2c-9.54,6.93-17.06,15-26,20.71-6.68,4.27-15,6.12-22.87,8.32-10.85,3.06-21,8.57-32.58,9.13-2.76.13-3.39,2.13-3.47,4.57-.19,6-.54,12-.79,17.95-.15,3.71-1.22,5.59-5.18,3.11-2.44-1.52-5-1.15-7.58.05-4.63,2.15-6,1.29-5.94-3.88.18-19.31.52-38.62.67-57.93,0-3.51,1.5-4.76,4.84-4.58,6,.32,12,.46,18,.78,4,.21,5.91-1.52,5.55-5.61a31.4,31.4,0,0,1,0-4c.09-2.1-.43-4.69,2.7-5,3-.32,6-.76,7.38,3.18,2.28,6.29,7.46,8.39,13.69,9a29.39,29.39,0,0,1,10.82,3.43c5.17,2.62,11.25,5.69,18,2.26C107.63,316.7,111.83,316.75,122.77,319.2Z
69	Lowry Hill	M118.78,375.62c-1.21,1.95-2.79,3.18-4.89,2.54-6.62-2-13.17.17-19.74,0-5.3-.12-5.88-1.67-4.85-6.82s3.14-10.84-2.06-15.7c-3-2.83-.93-8.87,3.18-9.79,5.41-1.22,9.58-4.14,13.67-7.74,6.48-5.7,13.38-10.94,20.15-16.29,1.11-.88,3.42-2.85,3.38.35-.08,5.85,3.62,11.14,1.71,17.64C132,353.17,125.72,364.49,118.78,375.62Z
70	Kenwood	M86.88,364.31c-1.09,11.84.11,24-4.47,35.42-1,2.39-2.09,3.56-4.65,3.45s-5,0-7.49,0c-4.49,0-9,.06-13.37-1.14-2.61-.71-3.85-1.85-2.31-4.56a11.86,11.86,0,0,0,.81-1.82c3.18-8.84,2-10.48-7.3-10.51-7.88,0-7.88,0-7.88-7.9,0-3.66.2-7.33,0-11s.8-5.68,5-6.28c10.6-1.52,20.32-6.19,30.49-9.25,5.47-1.64,5.73-1.41,5.88,4.31,0,1.5-.24,2.94-.18,4.4,0,1.06.68,2.33,1.8,1.68C87.62,358.54,87.09,362.09,86.88,364.31Z
71	East Isles	M111,385c-3.85,6.92-4.74,14.87-7.82,22.08a34.31,34.31,0,0,0-2.41,14.66c.19,6.45,0,6.45-8.31,6.34-1.67,0-3.33.07-5,0-1-.06-2.2-.54-1.76-1.83,2.4-6.91-1.18-13.55-.77-20.47.45-7.68,2.84-14.63,5.08-21.75a3.14,3.14,0,0,1,3.28-2.47c5.33,0,10.65,0,16,0C112.37,381.46,112.1,383,111,385Z
72	Lowry Hill East	M129.61,382.68a73.36,73.36,0,0,0-.72,17.72c.66,8,0,16-.06,24,0,2.38-.92,3.79-3.51,3.78-5.83,0-11.65,0-17.48,0-2.87,0-3.54-1.57-3.74-4.12-.58-7.3.32-14.53,3.51-20.95,6.6-13.22,13.94-26.07,21-39.07l1,.35Z
73	Whittier	M173.61,410.49c-3.3,4.33-6.15,9.14-6.85,14.8-.25,2-1.35,3-3.3,2.94-9.19-.42-18.52,1.56-27.54-2.08-2.18-.88-2.82-2-2.81-4,.06-14.48.15-29,.13-43.44,0-3,1.23-4.26,4.18-4.1a39.24,39.24,0,0,0,5.49,0,22.35,22.35,0,0,0,4-.7s.76-.17,2.15-.4c1,.58,9-.45,18.58-.28,7.56.13,7,1,9.36.34,2.92-.8,4.5.41,4.74,3.84C182.61,389.35,181.18,400.55,173.61,410.49Z
74	Lyndale	M162,469.79a70.92,70.92,0,0,1-17.41-.17c-2.68-.43-5.25-.78-7.87,0-3,.9-4.31-.12-4.44-3.3-.43-10.51.8-20.95.86-31.44,0-2.59,1.56-3.44,3.9-3.43,8.66,0,17.32.09,26,.07,2.73,0,4,1.19,3.93,3.9,0,5,0,10,0,15h0c0,4.5-.24,9,.08,13.49C167.28,467.82,165.4,469.5,162,469.79Z
75	ECCO	M98.71,465.74c1.77,3.92,0,4.34-3,4.34-7.31,0-14.63-.12-21.94.05-3.57.09-4.66-1.46-4.55-4.78.16-4.82,0-9.64,0-14.46h.21c0-5.15-.06-10.3,0-15.45,0-3.44,1.74-5.07,5.36-4.87,7.45.41,14.92.65,22.38.88,2.5.08,3.79,1.26,3.54,3.7-.63,6.29,1.36,12.64-2,19A14.17,14.17,0,0,0,98.71,465.74Z
76	CARAG	M120.06,470.09c-4.32,0-8.64-.07-13,0-2.74.05-3.94-1.14-3.89-3.87.07-4.65,0-9.3,0-14h.37c0-5.31-.07-10.62,0-15.93.06-3.32,1.55-5.12,5.27-4.95,5.14.23,10.29.14,15.44,0,3.12-.07,4.68,1.11,4.5,4.36-.21,3.6,0,7.11-1.33,10.73a15.26,15.26,0,0,0,.26,10.74,12.85,12.85,0,0,1,.89,3.32C129.6,469.75,129.27,470.09,120.06,470.09Z
77	East Harriet	M128.56,540c-.2,2.2-2.13,2.28-3.82,2.28-14.48,0-29-.1-43.44-.07-3,0-4.11-1.34-4.09-4.24.07-10.15,0-20.29,0-30.45,1.49-.17,1.66,2.19,3,1.45,1.56-.88.57-2.35.26-3.55C78.79,499,74.58,494,71.08,488.65c-3-4.49-1.71-8.92-1.44-13.4.12-1.83,2.26-1.63,3.72-1.63,17.15,0,34.29,0,51.43-.05,3.08,0,4.06,1.38,4,4.26-.07,11.48-.16,23,.06,34.45.05,2.45-2,3.66-2.14,5.83-.22,4.08-1.14,8,1.32,12C129.81,533,128.85,536.66,128.56,540Z
78	King Field	M166.84,479.36c-.33,9.47-.1,18.95-.1,28.43h0c0,9.81,0,19.62,0,29.43,0,3,.18,6.36-4.52,3.38a5.75,5.75,0,0,0-5.34-.25c-6.83,3.36-14.06,1.27-21.08,1.9-3.51.32-4.53-1.46-4.6-4.77-.21-9.32.66-18.59.83-27.89.19-10.14.21-20.28,0-30.42-.1-4.4,1.53-5.82,5.84-5.66,7.64.28,15.31.3,22.94,0C165.24,473.33,167,474.63,166.84,479.36Z
79	Windom	M165.8,613.68q0,19.7-1,39.36c-.17,3-1.41,4.06-4.29,4-7.65-.09-15.3,0-23,0-7.32,0-14.63-.09-21.95.06-3.61.06-4.18-1.21-2.28-4a46.62,46.62,0,0,1,3.51-4.84c9.92-11.22,14.59-24.31,14.36-39.26-.1-6.51.95-7.27,7.26-6,7.47,1.57,14.93,3.21,22.44,4.6C164.5,608.28,165.79,610,165.8,613.68Z
80	Tangletown	M166.68,550.09c-1.51,15.78-.64,31.62-.84,47.43-.05,4.42-1.09,6.34-5.7,4.84-7.94-2.58-16.17-2.26-24.34-2.19-3.51,0-4.68-1.38-4.61-4.76.14-7.66,0-15.33,0-23,0-7.5.09-15,0-22.49,0-3.2,1.19-4.48,4.41-4.45q13.24.12,26.49-.11C165.53,545.31,167,546.6,166.68,550.09Z
81	Lynnhurst	M128.85,550.88c-.26,7.32-.07,14.66-.07,22s-.15,14.66.05,22c.11,3.78-1,5.46-5.08,5.33-7.49-.24-15.28,1.19-22.41-.42-7.72-1.74-15-.46-22.54-.47-3.45,0-4.75-1.4-4.73-4.77.09-12.82-.07-25.65.08-38.47.07-6.76,4.19-10.66,10.72-10.65,12.83,0,25.65.21,38.48,0C127.45,545.39,129,546.7,128.85,550.88Z
82	Kenny	M114.92,645.8a5.51,5.51,0,0,0-1.25,1.55c-4.84,13.55-16.27,8.11-25.54,8.85-1.53.12-2-.77-1.49-2.28,3-9.43,1.19-19.14,1.53-28.73.21-5.81.2-11.65,0-17.46-.14-3.83,1.13-5.48,5.13-5.28,5,.25,10,.06,15,.06v0c5.16,0,10.31.07,15.47,0,3-.06,4.1,1.2,4.21,4.15C128.53,621.39,125.05,634.68,114.92,645.8Z
83	Armatage	M84.47,650.38c-.5,3.68-2.66,6.23-7.22,5.86s-9-.08-13.45-.08v-.1c-4.82,0-9.65-.09-14.47,0-3,.07-4.14-1.25-4.08-4.18q.42-22.68.7-45.35c0-3.36,1.85-4.22,4.79-4.19,10,.1,19.95.19,29.92.11,3.7,0,5.43,2.23,4.1,4.95-3.84,7.83.41,15.14.82,22.63A107.47,107.47,0,0,1,84.47,650.38Z
84	Fulton	M70.67,596.51c.23,2.13-1.61,2.72-3.43,2.68-15.62-.34-31.25-.73-46.87-1.09-2.32-.05-3.25-1.36-3.25-3.52q0-19.71,0-39.43c0-3.31,2.14-3.64,4.7-3.63,7.49,0,15,0,22.47,0v.05c7.15,0,14.31.16,21.46-.07,4-.13,5.46,1.43,5.12,5.27-.43,4.81,1.18,9.88-2.45,14.28a4.77,4.77,0,0,0,.09,5.28C73.15,582.69,70,589.8,70.67,596.51Z
85	West Calhoun	M66.82,436.16c-.31,10-.53,19.93-.72,29.89-.06,2.61-1,4.22-3.84,4-5.52-.47-11.27,1.45-16.57-1.66a4.13,4.13,0,0,0-3.4-.14c-6.72,3.46-13.7,0-20.5,1-3.52.48-4.65-1.45-4.53-4.77.35-9.79.63-19.59.77-29.38,0-3.47,1.55-4.77,4.89-4.56,2.49.16,5,0,7.48,0,10.62.59,21.24,1.29,31.88.77C65.85,431.15,66.92,432.87,66.82,436.16Z
86	Cedar-Isles-Dean	M81.93,411.32c-.2,4.15-.19,8.32-.05,12.47.12,3.28-1.34,4.41-4.48,4.35-6.65-.11-13.3,0-22.55,0-7.49-.35-17.71,1.15-27.63-1.91a6.59,6.59,0,0,0-2-.06c-7,.24-7,.24-7-7.09,0-9,.12-18,0-26.94,0-3.46,1.31-4.75,4.73-4.63,8.79.31,17.6-.2,26.41.69,4.24.42,4.66,2.15,3.49,5.46-.27.78-.49,1.59-.83,2.34-2.91,6.41-2.48,7.25,4.56,9.1,6.7,1.76,13.55,1.29,20.34,1.31C80.5,406.39,82.11,407.6,81.93,411.32Z
87	Shingle Creek	M99.06,31c-4.19,5.71-2,11.57-.85,18.14-5.67-.19-11.45.79-17.18-.8-3.37-.93-6.56.72-9.84.77-7,.12-14,0-20.95,0-3,0-4.15-1.32-4.1-4.22.08-5.82.06-11.64,0-17.46,0-2.69,1.13-4,3.88-3.92,15.27.26,30.57-.66,45.82.83C99.53,24.73,101.18,28.13,99.06,31Z
88	Linden Hills	M74.14,544.11c0,3.57-1.2,5.18-4.93,5-10.94-.4-21.89-.25-32.76-2-4.33-.68-8.42,1.49-12.83,1.22-6.31-.39-6.53-.3-6.54-6.47,0-10.48,0-21,0-31.45h.22c0-10.49.18-21-.09-31.46-.11-4.45,1.5-5.76,5.79-5.67q19,.39,37.94.16c4,0,5.24,1.51,5.1,5.32-.29,7.59.27,14.92,6.43,20.67,1.67,1.55,1.61,4.3,1.62,6.66C74.1,518.82,74,531.46,74.14,544.11Z</svg>89